#PATH-POINTS-START Path
-19.885,-172.457,272,350
-21.033,-170.82,272
-22.104,-169.13,272
-23.09,-167.391,272
-23.99,-165.605,272
-24.801,-163.777,272
-25.521,-161.911,272
-26.152,-160.014,272
-26.692,-158.088,272
-27.144,-156.14,272
-27.515,-154.175,272
-27.805,-152.196,272
-28.023,-150.208,272
-28.176,-148.214,272
-28.27,-146.217,272
-28.314,-144.217,272
-28.318,-142.217,272
-28.291,-140.217,272
-28.245,-138.218,272
-28.192,-136.219,272
-28.15,-134.219,272
-28.136,-132.219,272
-28.175,-130.22,272
-28.3,-128.224,272
-28.558,-126.241,272
-29.005,-124.293,272
-29.716,-122.426,272
-30.755,-120.722,272
-32.136,-119.281,272
-33.793,-118.168,272
-35.625,-117.37,272
-37.55,-116.833,272
-39.52,-116.496,272
-41.512,-116.314,272
-43.51,-116.25,272
-45.51,-116.281,272
-47.507,-116.386,272,0
-49.5,-116.55,272
-51.487,-116.777,272
-53.463,-117.088,272
-55.413,-117.528,272
-57.302,-118.18,272
-58.945,-119.292,272
-59.189,-121.152,272
-57.88,-122.641,272
-56.202,-123.724,272
-54.397,-124.584,272
-52.525,-125.286,272
-50.609,-125.861,272
-48.663,-126.317,272
-46.692,-126.657,272
-44.704,-126.87,272
-42.705,-126.933,272
-40.71,-126.813,272
-38.746,-126.445,272
-36.886,-125.723,272
-35.311,-124.507,272
-34.35,-122.771,272
-34.13,-120.794,272
-34.461,-118.825,272,200
-35.066,-116.92,272
-35.921,-115.116,272
-37.484,-114.032,272
-39.076,-115.155,272
-40.157,-116.834,272
-41.046,-118.625,272
-41.838,-120.462,272
-42.572,-122.322,272
-43.268,-124.197,272
-43.938,-126.081,272
-44.59,-127.972,272
-45.229,-129.867,272
-45.861,-131.765,272
-46.486,-133.665,272
-47.11,-135.565,272
-47.733,-137.465,272
-48.357,-139.365,272
-48.985,-141.264,272
-49.617,-143.162,272
-50.255,-145.057,272
-50.9,-146.95,272
-51.555,-148.84,272
-52.219,-150.727,272
-52.895,-152.609,272
-53.584,-154.487,272
-54.287,-156.359,272
-55.005,-158.225,272
-55.741,-160.085,272
-56.497,-161.937,272
-57.273,-163.78,272
-58.072,-165.614,272
-58.898,-167.435,272
-59.498,-168.648,272,180
-58.803,-166.772,272
-58.108,-164.897,272
-57.414,-163.021,272
-56.719,-161.146,272
-56.024,-159.27,272
-55.33,-157.395,272
-54.635,-155.519,272
-53.941,-153.644,272
-52.929,-151.933,272,195
-52.336,-150.04,272
-52.791,-148.122,272
-54.075,-146.602,272
-55.696,-145.435,272
-57.452,-144.479,272
-59.274,-143.655,272
-61.132,-142.916,272
-63.013,-142.235,272
-64.908,-141.596,272
-66.813,-140.986,272
-68.723,-140.396,272
-70.639,-139.82,272
-72.557,-139.252,272
-74.476,-138.69,272
-76.395,-138.128,272
-78.314,-137.565,272
-80.232,-136.998,272
-82.149,-136.425,272
-84.062,-135.844,272
-85.973,-135.254,272
-87.88,-134.652,272
-89.784,-134.037,272
-91.682,-133.408,272
-93.576,-132.764,272
-95.463,-132.103,272
-97.344,-131.424,272
-99.219,-130.726,272
-101.085,-130.007,272
-102.943,-129.267,272
-104.792,-128.505,272
-106.63,-127.718,272
-108.458,-126.905,272
-110.274,-126.067,272
-112.077,-125.201,272
-113.865,-124.306,272,320
-115.64,-123.384,272
-117.401,-122.435,272
-119.142,-121.451,272
-120.852,-120.415,272
-122.505,-119.29,272
-123.986,-117.953,272
-123.657,-116.407,272
-121.685,-116.118,272
-119.686,-116.132,272
-117.69,-116.254,272
-115.698,-116.434,272
-113.709,-116.649,272
-111.724,-116.888,272
-109.74,-117.142,272
-107.758,-117.407,272
-105.776,-117.678,272
-103.795,-117.953,272
-101.814,-118.23,272
-99.833,-118.506,272
